ticket_id,created_date,resolved_date,category,sub_category,priority,status,subject,description,resolution,product_service,department,satisfaction_rating,time_to_resolution_hours,text_length
TKT-10189,2024-06-07,,Email/Communication,Teams,Medium,In Progress,Can't join Teams meeting — error,"hello, clicking on teams meeting links gives me an error saying 'something went wrong.' can't join any meetings. tried both the app and the browser — same error. i'm working remotely today if that matters. this is slowing me down but i can work around it for now. regards.",,Zoom,Executive,,,272
TKT-13095,2024-08-14,2024-08-14 10:54:00,Database,Backup,High,Closed,Need to restore database from backup,"hey team, we need to restore the reporting database from last night's backup. a bad etl job corrupted several tables with incorrect data this morning. not super urgent but it's getting annoying. i already tried restarting my computer. thank you.",Restored reporting database from last night's 2am backup to a staging server first to verify integrity. Confirmed data is clean. Swapped in the restored database and re-ran today's ETL with the fixed job. Data now correct.,MySQL,Executive,4.0,10.9,245
TKT-13096,2024-02-13,2024-02-13 22:48:00,Database,Backup,Medium,Closed,Backup verification needed for compliance audit,our compliance team needs verification that database backups are working and restorable. audit is next week. can we do a test restore? i cleared my browser cache but it didn't help. would appreciate a fix when you get a chance — moderately impactful.,Performed full test restore of production database to isolated environment. Verified data integrity with checksums and row counts matching production. Documented results with timestamps for compliance audit.,Redis,Logistics,5.0,22.8,250
TKT-13097,2024-08-31,2024-08-31 01:36:00,Access/Permissions,Account Lockout,Critical,Closed,Keep getting locked out every morning,"hey, every single morning when i come in, my account is locked out. i change my password, it works for a day, then locked again the next morning. this has been going on for a week. i'm on a tight deadline so this is really blocking me. i asked a coworker and they don't have this problem. production is down. all users affected. needs immediate escalation.",Found a stale credential stored in Windows Credential Manager from an old mapped drive that was repeatedly trying to authenticate with the old password. Removed the cached credential. Lockouts stopped.,Active Directory,Finance,5.0,1.6,356
TKT-13098,2025-03-03,2025-03-05 22:06:00,Email/Communication,Distribution List,Medium,Closed,Remove ex-employee from distribution lists,"hi, ivan williams left the company 2 weeks ago but they're still on several distribution lists. getting bounce-back errors every time we email the team list. this started happening yesterday. i asked a coworker and they don't have this problem. would appreciate a fix when you get a chance — moderately impactful.",Removed the former employee from all distribution lists (found membership in 7 lists). Cleaned up bounce-back queue. No more NDR errors on group emails.,Webex,Engineering,4.0,70.1,313
TKT-13100,2025-08-03,2025-08-03 03:54:00,Security,Malware,Critical,Closed,USB drive triggered security alert,plugged in a usb drive i got at a conference and my antivirus immediately flagged something. i ejected the drive right away. i cleared my browser cache but it didn't help. this is completely blocking production — we are losing revenue every minute. thanks in advance.,"USB contained autorun malware that was caught by endpoint protection before execution. Quarantined threat, scanned system — clean. Confiscated USB drive for analysis. Reminded user about policy against using unknown USB devices.",Splunk SIEM,Procurement,4.0,3.9,267
TKT-13101,2024-01-20,2024-01-20 13:42:00,Hardware,Desktop,Medium,Closed,Desktop making loud grinding noise,"hello, my desktop pc started making a loud grinding noise yesterday. it's coming from inside the case, sounds like something is hitting a fan blade. this started happening yesterday. i checked and my internet connection seems fine.",Opened case and found a loose cable had dropped into the CPU fan. Rerouted cables and zip-tied them away from fans. Also cleaned significant dust buildup while the case was open. Noise eliminated.,Dell Latitude 5540,Operations,4.0,13.7,231
TKT-13103,2025-02-07,2025-02-08 00:00:00,Security,Phishing,High,Closed,Phishing email impersonating CEO,got an email that looks like it's from our ceo asking me to urgently purchase gift cards and send the codes. the email address is slightly different from the real one. pretty convincing otherwise. not super urgent but it's getting annoying. i asked a coworker and they don't have this problem. this is blocking my work completely — i can't proceed without this fixed. thank you.,"Classic CEO impersonation/BEC attack. Blocked sender, added warning banner for external emails impersonating executive names. Reported to anti-fraud team. Sent company-wide alert about this specific attack pattern.",Tenable Nessus,Product,1.0,24.0,378
TKT-13104,2024-02-18,2024-02-20 12:24:00,Hardware,Monitor,Low,Closed,Monitor showing wrong resolution,my monitor is stuck at 1024x768 and i can't change it to the native 2560x1440. the resolution dropdown doesn't show any higher options. just got this monitor today. not urgent. please address when convenient.,Installed correct monitor driver and updated GPU driver. Native resolution now available in display settings. Set to 2560x1440 at 60Hz as recommended.,Dell Precision 5570,Engineering,3.0,60.4,208
TKT-10195,2025-06-21,,Software,Compatibility,Low,In Progress,Java version conflict between applications,app a needs java 8 and app b needs java 17. currently have java 17 installed and app a won't work. is there a way to have both? i first saw this issue this morning. i asked a coworker and they don't have this problem. thank you.,,Tableau,Sales,,,228
TKT-13108,2025-02-25,2025-02-27 10:36:00,Network,Firewall,Medium,Closed,Need to whitelist vendor IP range,our new saas vendor needs us to whitelist their ip range (203.0.113.0/24) so their platform can push updates to our integration endpoint. security team has approved. i'm working remotely today if that matters. i checked and my internet connection seems fine. happy to work around this short-term but it needs to be addressed.,Whitelisted the approved IP range on the perimeter firewall for inbound HTTPS traffic to the integration endpoint. Verified with vendor that push notifications are now being received.,Juniper SRX,Human Resources,2.0,58.6,325
TKT-13110,2025-01-27,2025-01-28 09:48:00,Hardware,Printer,Medium,Resolved,Printer paper jam won't clear,"hello support, the printer keeps saying paper jam but i've checked everywhere and can't find any stuck paper. already opened all the trays and the back panel. error won't go away. this started happening yesterday. please advise.","Found a small torn piece of paper caught in the fuser unit roller, not visible from standard access panels. Removed the fragment with tweezers, cleaned the paper path sensors, and reset the printer. Jam error cleared.",MacBook Pro M3,Operations,4.0,33.8,228
TKT-13111,2025-07-23,2025-07-24 20:42:00,Software,Installation,Medium,Closed,Installation fails with error STATUS_ACCESS_DENIED,"hi there, getting error status_access_denied when trying to install autocad. i've tried running as administrator and disabling antivirus temporarily. still fails at the same point. this started happening yesterday. i asked a coworker and they don't have this problem. happy to work around this short-term but it needs to be addressed.","Error caused by missing Visual C++ redistributable dependency. Installed required VC++ runtime package first, then AutoCAD installation completed without errors.",AutoCAD,Product,2.0,44.7,334
TKT-13114,2025-04-04,2025-04-05 18:30:00,Network,Slow Connection,Low,Closed,File transfers to network drive extremely slow,"hi, copying files to the shared network drive is taking forever. a 50mb file takes over 10 minutes when it used to take seconds. only affects the s: drive, other mapped drives are fine. i first saw this issue this morning. this is a minor inconvenience, not urgent at all.","The file server hosting S: drive had a degraded RAID array causing heavy I/O latency. Replaced failed disk, rebuilt array, and performance returned to normal. Transfer speeds back to 100MB/s+.",Ubiquiti UniFi,Operations,3.0,42.5,272
TKT-13116,2023-03-13,2023-03-14 20:00:00,Hardware,Desktop,Medium,Closed,Desktop not connecting to network after move,"hi there, moved my desktop to a new desk and now it can't connect to the network. ethernet cable is plugged in but the network icon shows disconnected. cable works fine with my laptop. not super urgent but it's getting annoying. would appreciate a fix when you get a chance — moderately impactful. thanks.","Network port at new desk was not activated in the switch configuration. Enabled the port, assigned correct VLAN, and registered device MAC address. Desktop now on the network with full connectivity.",Lenovo ThinkCentre M90q,Procurement,1.0,44.0,305
TKT-13118,2023-09-04,2023-09-10 22:36:00,Software,Compatibility,Low,Closed,Plugin not compatible with latest browser version,"hello support, the adobe creative cloud browser plugin stopped working after the latest chrome update. we need this plugin for our daily workflow — it's how we interact with the client portal. not urgent. please address when convenient. thanks in advance.",Plugin vendor hasn't updated for latest Chrome. Installed the extension in developer mode with manifest V3 compatibility shim as temporary fix. Also contacted vendor — update expected in 2 weeks.,Adobe Creative Cloud,Executive,1.0,166.6,255
TKT-13119,2023-08-09,2023-08-10 03:54:00,Network,DNS,Medium,Closed,DNS returning wrong IP for internal service,"good morning, when i nslookup our forticlient server it returns a different ip than what it should be. i think someone changed it but now the app is broken because it's pointing to the old decomissioned server. i noticed this after the last update. would appreciate a fix when you get a chance — moderately impactful. thanks.",Found stale DNS record pointing to decommissioned host. Updated A record with correct IP address and flushed DNS caches on affected machines. Service now resolving correctly.,FortiClient,Research,5.0,27.9,325
TKT-13120,2023-11-07,2023-11-09 14:36:00,Email/Communication,Distribution List,Medium,Closed,Remove ex-employee from distribution lists,wei ali left the company 2 weeks ago but they're still on several distribution lists. getting bounce-back errors every time we email the team list. i tried the usual troubleshooting steps. this is affecting my productivity but not a total blocker.,Removed the former employee from all distribution lists (found membership in 7 lists). Cleaned up bounce-back queue. No more NDR errors on group emails.,Exchange Online,IT,1.0,62.6,247
TKT-13122,2023-09-05,2023-09-07 10:24:00,Cloud/Infrastructure,Scaling,Medium,Resolved,Load balancer not distributing traffic evenly,"hey, two of our four application servers are getting 80% of the traffic while the other two sit nearly idle. load balancer should be distributing evenly. this started happening yesterday.",Load balancer was using sticky sessions with an overly long persistence timeout (24 hours). Reduced session persistence to 15 minutes and changed algorithm from source-IP to round-robin with least-connections. Traffic now distributed evenly across all four servers.,GitHub Actions,Finance,2.0,58.4,187
TKT-13123,2023-07-16,2023-07-17 07:36:00,Network,Slow Connection,Medium,Resolved,File transfers to network drive extremely slow,"hello support, copying files to the shared network drive is taking forever. a 50mb file takes over 10 minutes when it used to take seconds. only affects the s: drive, other mapped drives are fine. i'm working remotely today if that matters. this is slowing me down but i can work around it for now.","The file server hosting S: drive had a degraded RAID array causing heavy I/O latency. Replaced failed disk, rebuilt array, and performance returned to normal. Transfer speeds back to 100MB/s+.",Cisco Meraki,Customer Support,4.0,31.6,298
TKT-13125,2025-08-17,2025-08-17 04:42:00,Security,Malware,Critical,Closed,Ransomware warning on screen,there's a scary message on my screen saying my files are encrypted and i need to pay bitcoin to get them back. i can't open any of my documents. help! i cleared my browser cache but it didn't help. this is critical — customer-facing services are unavailable right now. please advise.,CRITICAL: Immediately isolated workstation from network. Confirmed ransomware infection contained to local drive only — network shares not affected. Wiped and reimaged machine. Restored user files from last night's backup. Incident reported to security team for full investigation.,Microsoft Defender,Marketing,1.0,4.7,283
TKT-13126,2024-01-05,2024-01-05 15:42:00,Hardware,Printer,High,Closed,Printer not printing — jobs stuck in queue,sent several documents to the printer on the 2nd floor but nothing comes out. print queue shows jobs as 'printing' but they never actually print. other people having the same issue. i cleared my browser cache but it didn't help. i have a client deliverable due in 2 hours and this is stopping me. appreciate the help.,"Print spooler service had crashed on the print server. Cleared stuck print jobs, restarted the spooler service, and verified printing from multiple workstations. Queue now processing normally.",HP ZBook Fury,Research,4.0,15.7,317
TKT-13127,2025-09-01,2025-09-03 02:06:00,Cloud/Infrastructure,Scaling,Medium,Closed,Load balancer not distributing traffic evenly,two of our four application servers are getting 80% of the traffic while the other two sit nearly idle. load balancer should be distributing evenly. happy to work around this short-term but it needs to be addressed. cheers.,Load balancer was using sticky sessions with an overly long persistence timeout (24 hours). Reduced session persistence to 15 minutes and changed algorithm from source-IP to round-robin with least-connections. Traffic now distributed evenly across all four servers.,AWS EC2,Engineering,1.0,50.1,223
TKT-13128,2023-06-18,2023-06-18 05:00:00,Access/Permissions,Account Lockout,Critical,Closed,Multiple users locked out simultaneously,"hi it, about 15 people in research all got locked out of their accounts at the same time around 9am. seems too coordinated to be a coincidence. are we under attack? i've rebooted twice, no change. this is critical — customer-facing services are unavailable right now.","Investigation revealed a misconfigured application in Research that was attempting authentication with a cached expired token, triggering lockout policy for all connected users. Fixed the application config and unlocked all affected accounts. No security incident.",OneLogin,Sales,3.0,5.0,267
TKT-13130,2024-01-18,2024-01-19 09:30:00,Hardware,Monitor,Low,Resolved,Monitor has dead pixels,"hello, there are about 5-6 dead pixels in the center of my monitor — they show up as tiny bright dots that never change. really distracting when working on documents or presentations. i'm working remotely today if that matters.",Confirmed stuck pixels with diagnostic test. Monitor is within warranty. Submitted RMA and replaced with new unit. No dead pixels on replacement — verified with pixel test.,HP ZBook Fury,Finance,5.0,33.5,227
TKT-13132,2023-05-05,2023-05-05 19:12:00,Network,WiFi,High,Closed,Eduroam/partner WiFi access needed,i need access to the partner wifi network for a visiting researcher from sales. they'll be here for 3 months and need reliable connectivity. this has been going on for about a week now. multiple people on my team are affected and we're all blocked. let me know if you need more info.,Created partner WiFi account with 90-day expiration. Configured VLAN access to limit network segment to guest resources only. Provided credentials and connection guide to visitor.,Juniper SRX,Finance,4.0,19.2,283
TKT-13134,2024-06-20,2024-06-20 05:48:00,Cloud/Infrastructure,Service Outage,Critical,Resolved,Production service completely down,"hey team, our customer-facing terraform application is completely down. users getting 503 errors. multiple teams reporting issues. started about 15 minutes ago. all work has stopped. this needs to be fixed in the next hour. thanks in advance.",Root cause: expired TLS certificate on the load balancer. Renewed certificate and installed on all load balancer nodes. Service restored within 20 minutes of escalation. Implemented certificate expiry monitoring to alert 30 days before expiration.,Terraform,Product,2.0,5.8,242
TKT-13136,2024-04-08,2024-04-09 23:18:00,Hardware,Laptop,Medium,Closed,Laptop battery draining very fast,"my hp elitebook 840 battery used to last 6-7 hours, now it barely makes it to 2 hours. battery health in settings shows 68%. i've had this laptop for about 2 years. it was working fine until last friday. i already tried restarting my computer. happy to work around this short-term but it needs to be addressed. thank you.","Battery wear level at 32% confirmed degradation. Replaced battery under warranty. New battery showing 100% health, estimated runtime 7-8 hours. Also optimized power settings.",HP EliteBook 840,Marketing,2.0,47.3,321
TKT-13137,2025-11-29,2025-11-30 12:06:00,Access/Permissions,Permission Request,Medium,Closed,Need access to shared drive,"hi, i need read/write access to the \\fileserver\product shared drive. i was recently transferred to product and my manager aisha santos has approved the access. not blocking me completely but i'd like this fixed today if possible.",Verified approval with manager. Added user to the Product-FileShare security group in AD. Access to shared drive confirmed within 15 minutes after group policy refresh.,CyberArk,Legal,5.0,36.1,231
TKT-13138,2025-07-28,2025-07-29 21:54:00,Security,Phishing,Medium,Resolved,Clicked on phishing link — need help,i accidentally clicked on a link in a suspicious email before i realized it was fake. it asked for my password and i entered it before the page looked wrong and i closed it. what should i do? this started happening yesterday. i already tried restarting my computer. would appreciate a fix when you get a chance — moderately impactful.,Immediately reset user's password and revoked all active sessions. Enabled enhanced monitoring on the account for 30 days. Scanned workstation for malware — clean. Blocked the phishing URL at the firewall. No unauthorized access detected in audit logs.,Palo Alto Cortex,Product,3.0,45.9,334
TKT-13140,2025-11-02,2025-11-02 23:00:00,Email/Communication,Calendar,High,Closed,Meeting room double booked,"hi there, conference room east wing shows as available when i booked it, but when i went to use it someone else was already in there with their own booking. calendar system seems broken. i'm on a tight deadline so this is really blocking me. i checked and my internet connection seems fine. multiple people on my team are affected and we're all blocked.",Room mailbox had a permissions issue allowing overlapping bookings. Fixed the resource booking policy to auto-decline conflicting reservations. Resolved the double-booking with both parties and confirmed future conflict detection works.,Exchange Online,Human Resources,2.0,23.0,353
TKT-13142,2024-01-24,2024-01-24 12:48:00,Software,Installation,Medium,Closed,Need bulk software deployment for new team,"we have 12 new team members starting in legal next week. they all need salesforce and our standard dev tools installed before day one. i've rebooted twice, no change. would appreciate a fix when you get a chance — moderately impactful.",Created deployment package in SCCM with all required software. Staged installations on 12 machines overnight. All installations verified successful. Machines ready for new hires.,Salesforce,Human Resources,5.0,12.8,235
TKT-13143,2024-02-17,2024-02-17 10:06:00,Database,Performance,Medium,Closed,Database queries extremely slow,"hey, our amazon rds database queries that used to take seconds are now taking 3-5 minutes. reports are timing out. the database hasn't changed — same queries, same data volume approximately. i'm on a tight deadline so this is really blocking me. regards.",Database statistics were severely outdated — hadn't been refreshed in 3 months. Rebuilt indexes on key tables and updated statistics. Query execution times dropped from minutes back to seconds.,Amazon RDS,Human Resources,4.0,10.1,254
TKT-13144,2024-01-06,2024-01-06 02:18:00,Database,Access,Critical,Closed,Need read access to production database,"hi it, i need read-only access to the production elasticsearch database for analytics work. my manager ivan nguyen has approved. i only need select permissions on the reporting schema. this has been going on for about a week now. production is down. all users affected. needs immediate escalation.",Created database login with read-only role on reporting schema only. No access to PII tables per data classification policy. Tested access — user can run queries against approved tables.,Elasticsearch,Product,5.0,2.3,297
TKT-13145,2024-08-30,2024-09-01 12:06:00,Cloud/Infrastructure,VM,Medium,Resolved,Need to resize VM — running out of resources,"hello support, our staging vm needs to be upgraded — currently 4 vcpu and 16gb ram but we're constantly hitting resource limits during load testing. i've rebooted twice, no change. this is slowing me down but i can work around it for now. regards.","Scheduled VM resize during maintenance window. Shut down VM, increased to 8 vCPU and 32GB RAM, and restarted. Load tests now complete without resource exhaustion. Monitored for 24 hours — stable.",GitHub Actions,Marketing,3.0,60.1,247
TKT-13147,2025-08-27,2025-08-27 04:06:00,Security,Malware,Critical,Closed,Computer behaving strangely — possible malware,"hey, my computer has been acting weird — random pop-ups, browser redirecting to strange sites, and it's much slower than usual. worried i might have malware. we have an sla breach in 30 minutes if this isn't resolved.","Full scan detected adware/PUP infection (3 items). Removed all detected threats, cleaned browser extensions, reset browser settings, and cleared temp directories. System performance back to normal. Updated endpoint protection signatures.",Qualys,IT,5.0,4.1,217
TKT-13148,2023-11-29,2023-11-29 13:30:00,Hardware,Desktop,High,Resolved,Desktop not connecting to network after move,moved my desktop to a new desk and now it can't connect to the network. ethernet cable is plugged in but the network icon shows disconnected. cable works fine with my laptop. restarting the application didn't fix it. multiple people on my team are affected and we're all blocked. let me know if you need more info.,"Network port at new desk was not activated in the switch configuration. Enabled the port, assigned correct VLAN, and registered device MAC address. Desktop now on the network with full connectivity.",Surface Pro 9,Marketing,4.0,13.5,314
TKT-13149,2024-04-20,2024-04-20 00:30:00,Cloud/Infrastructure,Service Outage,Critical,Closed,Third-party API dependency down,our payment processing is failing because the third-party payment api is returning errors. customers can't complete purchases. vendor hasn't posted any status updates. not super urgent but it's getting annoying. i cleared my browser cache but it didn't help. the entire team is blocked and cannot work. this is a p1 emergency.,Enabled failover to backup payment provider while primary vendor resolves their outage. Queued failed transactions for retry once primary comes back. Notified customer support team to handle any customer inquiries. Primary vendor restored service after 3 hours — all queued transactions processed.,Docker,Customer Support,4.0,0.5,326
TKT-13150,2024-11-30,2024-12-01 10:24:00,Network,VPN,Medium,Resolved,Need VPN access for new employee,"hey team, marcus tanaka just started in executive and needs vpn access to work remotely. manager approved remote work arrangement starting next week. it's been like this since monday. this is affecting my productivity but not a total blocker. regards.","Created VPN account, generated credentials, and enrolled user's device in MDM. Sent setup instructions via email. User confirmed successful VPN connection.",FortiClient,Research,3.0,34.4,251
TKT-13151,2024-11-12,2024-11-12 07:36:00,Hardware,Peripheral,Critical,Closed,Wireless mouse not responding,"hi there, my wireless mouse stopped working. replaced batteries, re-plugged the usb receiver into different ports, still nothing. the receiver light doesn't even blink. this is completely blocking production — we are losing revenue every minute.",USB receiver was defective. Replaced with new mouse and receiver from inventory. Paired successfully. User confirmed mouse is tracking properly.,Dell Latitude 5540,Engineering,4.0,7.6,245
TKT-13153,2023-10-02,2023-10-02 08:00:00,Hardware,Desktop,Critical,Closed,Need more RAM — computer too slow with current workload,"hey team, my lenovo thinkpad x1 only has 8gb ram and i regularly need to run lenovo thinkpad x1 alongside multiple browser tabs and excel sheets. system grinds to a halt. can i get a ram upgrade? this is only happening on my machine. restarting the application didn't fix it. we have an sla breach in 30 minutes if this isn't resolved.",Approved RAM upgrade request. Installed additional 16GB (2x8GB) matching existing spec. System now has 24GB total. User confirmed significant performance improvement with their typical workload.,Lenovo ThinkPad X1,Procurement,4.0,8.0,335
TKT-13155,2025-02-28,2025-03-02 10:18:00,Software,Crash,Medium,Closed,Workday freezes when opening large files,"hey, every time i try to open a file larger than about 50mb in workday, the application freezes completely. have to force-close it from task manager. smaller files work fine. this is affecting my productivity but not a total blocker. appreciate the help.",Application was running in 32-bit mode with limited memory allocation. Switched to 64-bit version and increased JVM heap size to 4GB. Large files now open without freezing.,Workday,Engineering,2.0,58.3,254
TKT-13156,2025-04-09,2025-04-09 06:36:00,Software,Compatibility,Critical,Closed,New software conflicts with existing tool,"hi, after installing zoom, our existing crm tool started crashing. they seem to conflict somehow. i need both applications for my work. this is only happening on my machine. this is critical — customer-facing services are unavailable right now. thank you.",Both applications were competing for the same local port (8080). Reconfigured Zoom to use port 8180 instead. Both applications now run simultaneously without conflicts.,Zoom,Sales,3.0,6.6,255
TKT-13157,2024-12-05,2024-12-06 05:30:00,Cloud/Infrastructure,Storage,Low,Closed,Need to set up cross-region backup,compliance requires us to have our production data backed up to a different geographic region. currently everything is in us-east-1. i noticed this after the last update. no rush on this — just flagging it when you have time. thank you.,Configured cross-region replication from us-east-1 to us-west-2 for production S3 buckets. Set up automated EBS snapshot copy to target region. Verified replication with test data. Updated disaster recovery documentation.,Amazon S3,Product,5.0,29.5,236
TKT-13158,2025-08-30,2025-08-31 15:12:00,Software,Compatibility,Low,Resolved,Java version conflict between applications,"hi, app a needs java 8 and app b needs java 17. currently have java 17 installed and app a won't work. is there a way to have both? i already tried restarting my computer. low priority — happy to wait until your schedule allows. appreciate the help.",Installed both Java 8 and Java 17 side by side. Configured App A's shortcut to use Java 8 runtime via JAVA_HOME override. App B continues using system default Java 17. Both apps now functional.,Jira,Product,3.0,39.2,249
TKT-10884,2023-01-16,,Network,VPN,Low,In Progress,VPN shows connected but can't reach internal sites,"vpn says connected and i can see the green icon, but i can't reach any internal sites — sharepoint, jira, internal wikis all timeout. external sites work fine. this has been going on for about a week now. restarting the application didn't fix it. this is a minor inconvenience, not urgent at all.",,Cisco ISE,Product,,,296
TKT-13161,2025-08-04,2025-08-05 04:30:00,Cloud/Infrastructure,Scaling,Medium,Closed,Load balancer not distributing traffic evenly,"good morning, two of our four application servers are getting 80% of the traffic while the other two sit nearly idle. load balancer should be distributing evenly. i'm in remote if someone needs to come look at it. i tried the usual troubleshooting steps. happy to work around this short-term but it needs to be addressed.",Load balancer was using sticky sessions with an overly long persistence timeout (24 hours). Reduced session persistence to 15 minutes and changed algorithm from source-IP to round-robin with least-connections. Traffic now distributed evenly across all four servers.,AWS EC2,Logistics,4.0,28.5,321
TKT-13162,2024-07-07,2024-07-07 01:48:00,Network,WiFi,Critical,Closed,WiFi speed very slow in Building C,"hi, wifi in building c has been unusable for the past few days. speedtest shows less than 5mbps down when it should be around 100. multiple people are complaining. i noticed this after the last update. restarting the application didn't fix it. this is critical — customer-facing services are unavailable right now. thanks in advance.",Discovered a rogue access point on the same channel causing interference. Removed the unauthorized device and adjusted channel assignments across the floor. Speeds back to normal (95mbps+).,Palo Alto GlobalProtect,Product,5.0,1.8,333
TKT-13163,2025-01-06,2025-01-07 11:30:00,Network,WiFi,Medium,Closed,Can't connect to corporate WiFi,"hey team, my laptop won't connect to the corporate wifi network. it sees the network but when i enter my credentials it just spins and eventually fails. personal hotspot works fine. not super urgent but it's getting annoying.",User's machine certificate for 802.1X authentication had expired. Renewed the certificate through the internal CA and reconnected. WiFi authentication now succeeds.,Aruba ClearPass,Legal,3.0,35.5,225
TKT-13164,2025-08-13,2025-08-13 07:36:00,Hardware,Laptop,High,Closed,Laptop keyboard keys not working,"hey, several keys on my laptop keyboard stopped working — the e, r, and t keys specifically. makes it really hard to type. started after a small coffee spill last week that i cleaned up right away. this has been going on for about a week now. this is causing significant disruption to my team's work today. thank you.",Inspected keyboard — liquid damage to membrane under affected keys. Replaced keyboard assembly. All keys now functional. Recommended user keep liquids away from device.,HP EliteBook 840,Procurement,4.0,7.6,317
TKT-13165,2023-04-21,2023-04-23 06:12:00,Access/Permissions,Password Reset,Low,Closed,Self-service password reset not sending email,"tried to reset my password through the self-service portal but the reset email never arrives. checked spam folder too. waited 30 minutes, tried 3 times. i'm in hq if someone needs to come look at it. i've rebooted twice, no change. no rush on this — just flagging it when you have time. please advise.",SMTP relay for the self-service portal had reached its daily sending limit. Increased the limit and manually triggered the reset email. User received it and successfully reset password.,OneLogin,Finance,4.0,54.2,301
TKT-13166,2023-04-13,2023-04-14 18:36:00,Security,Malware,Medium,Resolved,Antivirus detected malware on my PC,crowdstrike just popped up saying it detected and quarantined a threat on my machine. file was something called 'update_helper.exe'. i don't know where it came from. this has been going on for about a week now. i checked and my internet connection seems fine. not blocking me completely but i'd like this fixed today if possible. let me know if you need more info.,"Reviewed CrowdStrike detection — file was a trojan downloader. Quarantine was successful, no payload was executed. Ran full system scan — clean. Traced source to a download from an unauthorized software site. Reminded user of software download policy.",Qualys,Executive,2.0,42.6,364
TKT-13167,2024-12-12,2024-12-12 04:30:00,Hardware,Peripheral,Medium,Closed,USB ports not working on desktop,none of the front usb ports on my desktop are working. can't plug in my usb drive or charge my phone. the back ports still work though. i tried logging out and back in. happy to work around this short-term but it needs to be addressed. please advise.,Front panel USB header cable had come loose from the motherboard. Reseated the internal cable connection. All front USB ports now functional.,Dell Latitude 5540,Product,5.0,4.5,250
TKT-13168,2024-10-02,2024-10-02 07:42:00,Email/Communication,Teams,Medium,Closed,Need to create a new Teams channel for project,need a private teams channel created for project phoenix. should include about 20 members from procurement and engineering. need file sharing and a wiki tab. it's been like this since monday. would appreciate a fix when you get a chance — moderately impactful.,"Created private channel 'Project Phoenix' in the department Team. Added all 20 members, set up file sharing with proper folder structure, added wiki tab with project template. Channel owners set as project leads.",Zoom,Customer Support,5.0,7.7,260
TKT-13169,2024-05-16,2024-05-18 20:54:00,Hardware,Printer,Low,Closed,Printer not printing — jobs stuck in queue,"good morning, sent several documents to the printer on the 2nd floor but nothing comes out. print queue shows jobs as 'printing' but they never actually print. other people having the same issue. it was working fine until last friday. this is a minor inconvenience, not urgent at all.","Print spooler service had crashed on the print server. Cleared stuck print jobs, restarted the spooler service, and verified printing from multiple workstations. Queue now processing normally.",HP ZBook Fury,IT,5.0,68.9,284
TKT-13170,2023-02-12,2023-02-13 22:12:00,Hardware,Laptop,Medium,Closed,Laptop won't turn on,"hello support, my hp zbook fury won't power on at all. no lights, no fan, nothing happens when i press the power button. was working fine when i shut it down yesterday. i'm working remotely today if that matters. i tried logging out and back in.",Performed hard reset by removing battery and holding power button for 30 seconds. Reseated RAM and power connection. Laptop powered on — diagnostics show battery was fully depleted due to BIOS update pending. Charged and verified stable.,HP ZBook Fury,Operations,3.0,46.2,245
TKT-13171,2024-01-17,2024-01-17 06:30:00,Security,Malware,Critical,Closed,Ransomware warning on screen,"hi there, there's a scary message on my screen saying my files are encrypted and i need to pay bitcoin to get them back. i can't open any of my documents. help! it's been like this since monday. i checked and my internet connection seems fine. we have an sla breach in 30 minutes if this isn't resolved. please advise.",CRITICAL: Immediately isolated workstation from network. Confirmed ransomware infection contained to local drive only — network shares not affected. Wiped and reimaged machine. Restored user files from last night's backup. Incident reported to security team for full investigation.,SentinelOne,Executive,3.0,6.5,318
TKT-10202,2024-10-04,,Software,Update,Medium,Open,Automatic updates disrupting work,"hey team, my computer keeps restarting for updates in the middle of the workday. lost an hour of unsaved work today when it rebooted during a client presentation. this can't keep happening. i first saw this issue this morning. i tried the usual troubleshooting steps. happy to work around this short-term but it needs to be addressed. please advise.",,Visual Studio Code,Customer Support,,,349
TKT-13172,2023-03-10,2023-03-12 20:24:00,Cloud/Infrastructure,Storage,Medium,Closed,S3 bucket permissions need updating,"hey, the azure virtual machines s3 bucket needs its permissions updated — we need the etl service role to have read/write access but currently it only has read. i tried logging out and back in.",Updated IAM policy for ETL service role to include s3:PutObject and s3:DeleteObject permissions on the specified bucket. Applied principle of least privilege — access limited to the /data/ prefix only. Tested and confirmed write access works.,Azure Virtual Machines,Logistics,2.0,68.4,193
TKT-13173,2023-07-01,2023-07-04 05:24:00,Cloud/Infrastructure,Scaling,Low,Closed,Application can't handle traffic spike,"hello support, we're running a promotion and traffic is 5x normal levels. the application is buckling — slow response times and intermittent errors. need more capacity now. this is a minor inconvenience, not urgent at all.",Immediately scaled application horizontally from 3 to 10 pods. Increased database connection pool. Enabled CDN caching for static assets. Response times normalized within 10 minutes. Set up auto-scaling rules to handle future traffic spikes automatically.,Jenkins,Customer Support,5.0,77.4,222
TKT-13174,2024-06-27,2024-06-28 12:30:00,Hardware,Desktop,Medium,Resolved,Desktop making loud grinding noise,"hi there, my desktop pc started making a loud grinding noise yesterday. it's coming from inside the case, sounds like something is hitting a fan blade. this is only happening on my machine. i checked and my internet connection seems fine. happy to work around this short-term but it needs to be addressed.",Opened case and found a loose cable had dropped into the CPU fan. Rerouted cables and zip-tied them away from fans. Also cleaned significant dust buildup while the case was open. Noise eliminated.,HP EliteBook 840,Sales,5.0,36.5,305
